"sizu_OXC_003B060336","OXC","dummy","10.120.202.17","100G-PTN","public",\N,\N,"曲金003B060336"
"skae_OXC_007F040339","OXC","dummy","10.120.167.153","100G-PTN","public",\N,\N,"東海栄本007F040339"
"tumi_OXC_002H010413","OXC","dummy","10.120.172.87","100G-PTN","public",\N,\N,"三重津南002H010413"
"ndai_OXC_002B070236","OXC","dummy","10.120.190.222","100G-PTN","public",\N,\N,"奈良大安寺002B070236"
"nani_OXC_006E060346","OXC","dummy","10.120.200.102","100G-PTN","public",\N,\N,"浪速006E060346"
"seki_OXC_004H050821","OXC","dummy","10.120.192.96","100G-PTN","public",\N,\N,"関目004H050821"
"nkai_OXC_006B050278","OXC","dummy","10.120.184.76","100G-PTN","public",\N,\N,"西開発006B050278"
"snen_OXC_005C020713","OXC","dummy","10.120.184.150","100G-PTN","public",\N,\N,"西念005C020713"
"toya_OXC_003F030576","OXC","dummy","10.126.140.79","100G-PTN","public",\N,\N,"富山別003F030576"
"isid_OXC_004C010484","OXC","dummy","10.120.95.70","100G-PTN","public",\N,\N,"信越石堂004C010484"
"simo_OXC_002F020369","OXC","dummy","10.120.56.121","100G-PTN","public",\N,\N,"前橋下沖002F020369"
"utsu_OXC_003G030890","OXC","dummy","10.120.98.29","100G-PTN","public",\N,\N,"宇都中河原別003G030890"
"sait_OXC_002I060232","OXC","dummy","10.120.68.211","100G-PTN","public",\N,\N,"埼玉常盤002I060232"
"oteb_OXC_004H050960","OXC","dummy","10.120.69.67","100G-PTN","public",\N,\N,"大手町別館004H050960"
"hach_OXC_B03EE70124","OXC","dummy","10.120.110.162","100G-PTN","public",\N,\N,"鉢山B03EE70124"
"snjk_OXC_001E030350","OXC","dummy","10.120.78.134","100G-PTN","public",\N,\N,"新宿別001E030350"
"tach_OXC_001C070350","OXC","dummy","10.120.95.82","100G-PTN","public",\N,\N,"新立川別001C070350"
"kohf_OXC_003E050223","OXC","dummy","10.120.75.102","100G-PTN","public",\N,\N,"新甲府003E050223"
"gifu_OXC_003A040558","OXC","dummy","10.126.133.21","100G-PTN","public",\N,\N,"岐阜金町003A040558"
"kyot_OXC_006C010348","OXC","dummy","10.120.194.39","100G-PTN","public",\N,\N,"京都南別館006C010348"
"sapp_OXC_012E010094","OXC","dummy","10.120.94.130","100G-PTN","public",\N,\N,"札幌２外012E010094"
"hako_OXC_004E050220","OXC","dummy","10.120.78.101","100G-PTN","public",\N,\N,"第２函館004E050220"
"aomo_OXC_006B030346","OXC","dummy","10.126.151.45","100G-PTN","public",\N,\N,"青森２006B030346"
"akit_OXC_006H060309","OXC","dummy","10.120.62.147","100G-PTN","public",\N,\N,"中通006H060309"
"ygta_OXC_003A030359","OXC","dummy","10.120.102.2","100G-PTN","public",\N,\N,"山形２003A030359"
"mori_OXC_007B020399","OXC","dummy","10.120.78.118","100G-PTN","public",\N,\N,"盛岡３007B020399"
"tutu_OXC_004E030377","OXC","dummy","10.120.61.40","100G-PTN","public",\N,\N,"榴ヶ岡004E030377"
"meik_OXC_002B030456","OXC","dummy","10.120.81.134","100G-PTN","public",\N,\N,"女池002B030456"
"hana_OXC_004B040351","OXC","dummy","10.120.92.6","100G-PTN","public",\N,\N,"福島花園新棟004B040351"
"kobe_OXC_005B050419","OXC","dummy","10.120.199.44","100G-PTN","public",\N,\N,"大開005B050419"
"nsan_OXC_005E030634","OXC","dummy","10.120.171.228","100G-PTN","public",\N,\N,"中山下005E030634"
"moto_OXC_004D021187","OXC","dummy","10.120.168.49","100G-PTN","public",\N,\N,"中国基町004D021187"
"ygti_OXC_005F050256","OXC","dummy","10.120.197.21","100G-PTN","public",\N,\N,"山口３005F050256"
"tenj_OXC_004A050259","OXC","dummy","10.120.179.227","100G-PTN","public",\N,\N,"天神南004A050259"
"kuma_OXC_002D020276","OXC","dummy","10.120.196.22","100G-PTN","public",\N,\N,"熊本１002D020276"
"oita_OXC_004C020634","OXC","dummy","10.120.174.215","100G-PTN","public",\N,\N,"大分原新町004C020634"
"iyom_OXC_009M010117","OXC","dummy","10.120.187.79","100G-PTN","public",\N,\N,"松山４009M010117"
"tmat_OXC_006E030572","OXC","dummy","10.120.190.74","100G-PTN","public",\N,\N,"高松香川006E030572"
"tokc_OXC_005B050442","OXC","dummy","10.120.189.200","100G-PTN","public",\N,\N,"徳島Ｃ005B050442"
"waka_OXC_003E010374","OXC","dummy","10.120.184.216","100G-PTN","public",\N,\N,"和歌山別館003E010374"
"sima_OXC_002A020149","OXC","dummy","10.129.248.236","100G-PTN","public",\N,\N,"志摩ＬＳ002A020149"
"ibar_OXC_001F030285","OXC","dummy","10.124.43.130","100G-PTN","public",\N,\N,"北茨城ＬＳ001F030285"
"mito_OXC_B02F040322","OXC","dummy","10.120.78.26","100G-PTN","public",\N,\N,"新水戸B02F040322"
"chib_OXC_005C011317","OXC","dummy","10.120.44.250","100G-PTN","public",\N,\N,"千葉港005C011317"
"amag_OXC_002D050449","OXC","dummy","10.120.185.215","100G-PTN","public",\N,\N,"尼崎金楽寺別002D050449"
"koti_OXC_003G020223","OXC","dummy","10.120.200.146","100G-PTN","public",\N,\N,"高知別003G020223"
"myzk_OXC_004C040303","OXC","dummy","10.120.175.159","100G-PTN","public",\N,\N,"宮崎西004C040303"
"kago_OXC_005G040614","OXC","dummy","10.120.175.30","100G-PTN","public",\N,\N,"鹿児島ＮＷ005G040614"
"ngsk_OXC_003J100193","OXC","dummy","10.120.167.55","100G-PTN","public",\N,\N,"長崎別１003J100193"
"saga_OXC_004C030340","OXC","dummy","10.120.201.134","100G-PTN","public",\N,\N,"佐賀004C030340"
"mtue_OXC_004B030489","OXC","dummy","10.129.215.207","100G-PTN","public",\N,\N,"島根４004B030489"
"totr_OXC_005A040129","OXC","dummy","10.129.208.79","100G-PTN","public",\N,\N,"鳥取南005A040129"
"skip_OXC_007N1211","OXC","dummy","10.120.100.35","100G-PTN","public",\N,\N,"ＳＫＩＰＣ007N1211"
"ys6-m-3x_yobi","Apresia 8007","3520310401","10.129.215.166","NCC-エネルギア","evlan","mnet","ene",\N
"aj5-a-501","EXAtrax NS-6121","2711410201","10.126.189.8","1期網","evlan","gbe","gbe",\N
"aj5-a-503","EXAtrax NS-6121","2711410201","10.126.189.21","1期網","evlan","gbe","gbe",\N
"aj5-a-511","EXAtrax NS-6121","2711410201","10.126.189.93","1期網","evlan","gbe","gbe",\N
"aj5-a-515","EXAtrax NS-6121","2711410201","10.126.189.121","1期網","evlan","gbe","gbe",\N
"aj5-a-517","EXAtrax NS-6121","2711410201","10.126.189.194","1期網","evlan","gbe","gbe",\N
"aj5-a-518","EXAtrax NS-6142","2711410201","10.126.189.205","1期網","evlan","gbe","gbe",\N
"aj5-a-519","EXAtrax NS-6142","2711410201","10.126.189.206","1期網","evlan","gbe","gbe",\N
"aj5-a-521","EXAtrax NS-6142","2711410201","10.126.189.211","1期網","evlan","gbe","gbe",\N
"aj5-a-522","EXAtrax NS-6142","2711410201","10.126.189.229","1期網","evlan","gbe","gbe",\N
"aj5-a-525","EXAtrax NS-6121","2711410201","10.126.189.243","1期網","evlan","gbe","gbe",\N
"aj5-a-528","EXAtrax NS-6121","2711410201","10.126.206.56","1期網","evlan","gbe","gbe",\N
